Country,Year,Suicides per 100k
United States,1985,184.72
United States,1986,191.65
United States,1987,191.66
United States,1988,187.71
United States,1989,182.44
United States,1990,187.8
United States,1991,183.77
United States,1992,177.77
United States,1993,179.12
United States,1994,176.03
United States,1995,173.09
United States,1996,166.45
United States,1997,161.96
United States,1998,160.51
United States,1999,150.77
United States,2000,146.58
United States,2001,148.22
United States,2002,150.02
United States,2003,145.64
United States,2004,146.9
United States,2005,146.68
United States,2006,145.13
United States,2007,149.12
United States,2008,153.24
United States,2009,154.19
United States,2010,158.89
United States,2011,162.36
United States,2012,165.14
United States,2013,166.67
United States,2014,171.33
United States,2015,175.41
